Cim,Szerzo,Megjegyzes
A traveres Moscow guide,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 14-dik könyv
Japán építészete,Szentirmai,Nappali/ 2-es szekrény/ 3-as polc/ 15-dik könyv
Otthontevezés tanácsadó,Kapsza Miklós,Nappali/ 2-es szekrény/ 3-as polc/ 16-dik könyv
"""Házak, városok, társadalmak",Kleineisel János,Nappali/ 2-es szekrény/ 3-as polc/ 17-dik könyv
Tulélo képek,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 18-dik könyv
Szelencék titkai,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 19-dik könyv
Atlasz világtörténelem,The Times,Nappali/ 2-es szekrény/ 3-as polc/ 2-dik könyv
Tetofedés,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 20-dik könyv
A mindig megújjuló építészet,Major Máté,Nappali/ 2-es szekrény/ 3-as polc/ 21-dik könyv
A humanizmus korának építészeti elvei,Rudolf Wittmower,Nappali/ 2-es szekrény/ 3-as polc/ 22-dik könyv
Közgazdasági kislexikon,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 23-dik könyv és Hálószoba/ 4-es szekrény/ 4-es polc/ 2-ik könyv
Locuin?a timp ?i spa?iu,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 24-dik könyv
Házsongárd,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 25-dik könyv
India,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 26-dik könyv
Szinyei Merse Pál,Végvári Lajos,Nappali/ 2-es szekrény/ 3-as polc/ 27-dik könyv
Rubens,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 28-dik könyv
Balaton,Szelényi Károly,Nappali/ 2-es szekrény/ 3-as polc/ 29-dik könyv
Világatlasz,Haach,Nappali/ 2-es szekrény/ 3-as polc/ 3-dik könyv
Kóka Ferenc,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 30-dik könyv
Westeuropaishe Malerie-Leningrad,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 31-dik könyv
La galerie tretiakov-Moscow,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 32-dik könyv
Paintings in Soviet Museums,Matisze,Nappali/ 2-es szekrény/ 3-as polc/ 33-dik könyv
Rembrandt,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 34-dik könyv
Atlasz felfedezések,The Times,Nappali/ 2-es szekrény/ 3-as polc/ 4-dik könyv
Gesettet fur die Menscheit 1941-44,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 5-dik könyv
Museum der orientalischen  kunsmarchen,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 6-dik könyv
Mikhail Vrovbel,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 7-dik könyv
Moscow,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 8-dik könyv
The hermitagye germain and austrian painting,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 9-dik könyv
Iránytu-Magyarország,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ elso könyv
A politika alaprendje,Liska Tibor,Nappali/ 3-as szekrény/ 1-es polc/ 10-dik könyv
Capitalism,Michel Albert,Nappali/ 3-as szekrény/ 1-es polc/ 11-dik könyv
Sa în?elegem economia de pia?a,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 12-dik könyv
Scolul pie?ei,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 13-dik könyv
Este posibila accelerea privatizarii?,Dan Grindea,Nappali/ 3-as szekrény/ 1-es polc/ 14-dik könyv
Önéletrajz,Barabás Miklós,Nappali/ 3-as szekrény/ 1-es polc/ 15-dik könyv
Kovácsna megye,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 16-dik könyv
Lágy morajlással,Márkó Imre,Nappali/ 3-as szekrény/ 1-es polc/ 17-dik könyv
A szívárvány alatt,Ablonczy László,Nappali/ 3-as szekrén/ 1-es polc/ 18-dik könyv
Dic?ionar român-german,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 19-dik könyv
Poveste de iubire,Erich Segal,Nappali/ 3-as szekrény/ 1-es polc/ 2-dik könyv
O lume intreaga,Radu Tudorean,Nappali/ 3-as szekrény/ 1-es polc/ 21-dik könyv
Lupul de steapa,Herman Hesse,Nappali/ 3-as szekrény/ 1-es polc/ 22-dik könyv
Lumina in octombrie,John Gardner,Nappali/ 3-as szekrény/ 1-es polc/ 23-dik könyv
Mai aproape de cer,Wilhelm König,Nappali/ 3-as szekrény/ 1-es polc/ 24-dik könyv
Miért nincs rend Közép-Kelet Európában?,Kende Péter,Nappali/ 3-as szekrény/ 1-es polc/ 25-dik könyv
Contradictii ale tranzitiei,Vorunaj Vosganian,Nappali/ 3-as szekrény/ 1-es polc/ 26-dik könyv
Országgyulési kézikönyv,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 27-dik könyv
A határon tuli magyarság helyzete,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 28-dik könyv
Az önazonosság labirintusa,Tabojdi Csaba,Nappali/ 3-as szekrény/ 1-es polc/ 29-dik könyv
Húsvéti ajándék,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 3-dik könyv
A magyar állam foméltoságai,Markó László,Nappali/ 3-as szekrény/ 1-es polc/ 30-dik könyv
Magyarország kormányai 1848-1992,Bölöny József,Nappali/ 3-as szekrény/ 1-es polc/ 31-dik könyv
A modern közgazdaságtan töténete,Mátyás Antal,Nappali/ 3-as szekrény/ 1-es polc/ 32-dik könyv
"""Piac, állam, alkotmányosság""",James Buchanan,Nappali/ 3-as szekrény/ 1-es polc/ 33-dik könyv
Magyar liberalizmus,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 34-dik könyv
Tíz híres regény,Fried István,Nappali/ 3-as szekrény/ 1-es polc/ 35-dik könyv
Sorstalanság,Kertész Imre,Nappali/ 3-as szekrény/ 1-es polc/ 36-dik könyv
Három regény,Csiki László,Nappali/ 3-as szekrény/ 1-es polc/ 38-dik könyv
Az alkimista,Paulo Cuelho,Nappali/ 3-as szekrény/ 1-es polc/ 39-dik könyv
Így élt Ady Endre,Borbély Sándor,Nappali/ 3-as szekrény/ 1-es polc/ 40-dik könyv
Antioroszlán,Liska Tibor,Nappali/ 3-as szekrény/ 1-es polc/ 41-dik könyv
Állatfarm,George Orvell,Nappali/ 3-as szekrény/ 1-es polc/ 42-dik könyv
1984,George Orvell,Nappali/ 3-as szekrény/ 1-es polc/ 43-dik könyv
Székelyföld útikönyve,Vofkori László,Nappali/ 3-as szekrény/ 1-es polc/ 44-dik könyv
Víziboszorkány,Kemény János,Nappali/ 3-as szekrény/ 1-es polc/ 45-dik könyv
Atlantisz,Beke György,Nappali/ 3-as szekrény/ 1-es polc/ 46-dik könyv
Fekete volegények,Gulácsi Irén,Nappali/ 3-as szekrény/ 1-es polc/ 47-dik könyv
Újrakezdések,Benko Samu,Nappali/ 3-as szekrény/ 1-es polc/ 48-dik könyv
Clea,Lawrance Durrell,Nappali/ 3-as szekrény/ 1-es polc/ 6-dik könyv
Anyák könyve,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 7-dik könyv
Csíksomlyó,Boros Fortunát,Nappali/ 3-as szekrény/ 1-es polc/ 8-dik könyv
Az én Erdélyem,Névtelen,Nappali/ 3-as szekrény/ 1-es polc/ 9-dik könyv
Lámpagyujtogató,Reményik Sándor,Hálószóba/ 6-os szekrény/ 3-as polc/ 24-ik könyv
Örömkönyv,Müller Péter,Nappali/ 3-as szekrény/ 2-es polc/ 10-dik könyv
55 híres opera,Névtelen,Nappali/ 3-as szekrény/ 2-es polc/ 11-dik könyv
66 híres magyar regény,Névtelen,Nappali/ 3-as szekrény/ 2-es polc/ 12-dik könyv
Titkos tanítások,Müller Péter,Nappali/ 3-as szekrény/ 2-es polc/ 13-dik könyv
A titkon túl,Lisa Love,Nappali/ 3-as szekrény/ 2-es polc/ 14-dik könyv
Magyar huszárok,Barcy Zoltán,Nappali/ 3-as szekrény/ 2-es polc/ 2-dik könyv
Út a teljességhez,Rüdiger Dahlke,Nappali/ 3-as szekrény/ 2-es polc/ 21-dik könyv
A végso valóság,Balogh Béla,Nappali/ 3-as szekrény/ 2-es polc/ 23-dik könyv
A tudatalatti tízparancsolata,Balogh Béla,Nappali/ 3-as szekrény/ 2-es polc/ 24-dik könyv
Gyógyító Kezek,Barbara Ann,Nappali/ 3-as szekrény/ 2-es polc/ 3-dik könyv
A sírrablók,Páskádi Géza,Nappali/ 3-as szekrény/ 2-es polc/ 4-dik könyv
Fedezzük fel az IBC-PC-t!,Névtelen,Nappali/ 3-as szekrény/ 2-es polc/ 5-dik könyv
Nagyhatalmak tüddöklése és bukása,Névtelen,Nappali/ 3-as szekrény/ 2-es polc/ 6-dik könyv
Secretal,Rhonda Bryne,Nappali/ 3-as szekrény/ 2-es polc/ 7-dik könyv
Öröm,Névtelen,Nappali/ 3-as szekrény/ 2-es polc/ 8-dik könyv
Jóskönyv,Müller Péter,Nappali/ 3-as szekrény/ 2-es polc/ 9-dik könyv
Haza csak egy van?,Tóth Pál Péter,Nappali/ 4-es szekrény/ 1-es polc/ elso könyv
A kolosszus,Stephen Marlowo,Nappali/ 4-es szekrény/ 1-es polc/ 10-dik könyv
A Hunyadi téri színház,Janovics Jeno,Nappali/ 4-as szekrény/ 1-es polc/ 100-dik könyv
Erdélyi emlékírók Erdélyrol és a fejedelmságrol,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 101-dik könyv
Törökországi levelek,Mikes Kelemen,Nappali/ 4-es szekrény/ 1-es polc/ 102-dik könyv
A körön kívül,Lám Béla,Nappali/ 4-es szekrény/ 1-es polc/ 11-dik könyv
Megmaradni,Csurka István,Nappali/ 4-es szekrény/ 1-es polc/ 12-dik könyv
Levelezése,Lám Béla,Nappali/ 4-es szekrény/ 1-es polc/ 13-dik könyv
Sziget kék,Szabó Magda,Nappali/ 4-es szekrény/ 1-es polc/ 14-dik könyv
Advent a kaszárnyában,Beke György,Nappali/ 4-es szekrény/ 1-es polc/ 15-dik könyv
Hátrahagyott vesek,Reményik Sándor,"""Nappali/ 4-es szekrény/ 1-es polc/ 16-dik könyv és Hálószóba/ 6-os szekrény/ 3-as polc/ 23-ik könyv"""
A vár árnyékában,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 17-dik könyv
Daliás idok,Nemeskürthy István,Nappali/ 4-es szekrény/ 1-es polc/ 18-dik könyv
Foksányi szoros,Cseres Tibor,Nappali/ 4-es szekrény/ 1-es polc/ 19-dik könyv
Székely fonemesi életmód,Tüdos Kinga,Nappali/ 4-es szekrény/ 1-es polc/ 2-dik könyv
Kincses Kolozsvár,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 20-dik könyv
Napló,Bölöni Farkas Sándor,Nappali/ 4-es szekrény/ 1-es polc/ 21-dik könyv
Miniatür arcképek,Lytton Strachey,Nappali/ 4-es szekrény/ 1-es polc/ 22-dik könyv
Néprobbanás,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 23-dik könyv
A közelíto tél,Berzsenyi Dániel,Nappali/ 4-es szekrény/ 1-es polc/ 24-dik könyv
111 vers Kolozsvárról,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 25-dik könyv
Az erdon túl,Áprily Lajos,Nappali/ 4-es szekrény/ 1-es polc/ 26-dik könyv
Kakukk Marci,Tersánszky Jeno,Nappali/ 4-es szekrény/ 1-es polc/ 27-dik könyv
Égeto Eszter,Németh László,Nappali/ 4-es szekrény/ 1-es polc/ 28-dik könyv
"""Nemesfém, A hajó királynoje""",Hunyadi Sándor,"""Nappali/ 4-es szekrény/ 1-es polc/ 29-dik könyv és Hálószóba/ 6-os szekrény/ 3-as polc/ 18-ik könyv"""
Csíksomlyó titka,Daczó Árpád,Nappali/ 4-es szekrény/ 1-es polc/ 3-dik könyv
Kelet királynéja,Jókai Mór,Nappali/ 4-es szekrény/ 1-es polc/ 30-dik könyv
Szegény gazdagok,Jókai Mór,Nappali/ 4-es szekrény/ 1-es polc/ 31-dik könyv
Aranykoporsó,Móra Ferenc,Nappali/ 4-es szekrény/ 1-es polc/ 32-dik könyv és Hálószoba/ 2-es szekrény/ 1-es polc/ 10-dik könyv
Aranyfonál,Kosztolányi Dezso,Nappali/ 4-es szekrény/ 1-es polc/ 33-dik könyv
Szinbád,Krúdy Gyula,Nappali/ 4-es szekrény/ 1-es polc/ 34-dik könyv
Halálfiai,Babits Mihály,Nappali/ 4-es szekrény/ 1-es polc/ 35-dik könyv
Allah Akbor,German Gyula,Nappali/ 4-es szekrény/ 1-es polc/ 36-dik könyv
Élnem adjatok,Szilágyi Domokos,"""Nappali/ 4-es szekrény/ 1-es polc/ 37-dik könyv"
A fáraó,Boleslaw Prus,Nappali/ 4-es szekrény/ 1-es polc/ 38-dik könyv
Természetes kozmetika,Linda Wanorek,Nappali/ 4-es szekrény/ 1-es polc/ 39-dik könyv
Székelyföld falvai XX. század végén,Nagy Balázs,Nappali/ 4-es szekrény/ 1-es polc/ 4-dik könyv
Láda a pincében,Pillich László,Nappali/ 4-es szekrény/ 1-es polc/ 40-dik könyv
Ballagó ido,Fekete István,Nappali/ 4-es szekrény/ 1-es polc/ 41-dik könyv
Valószínu törénetek,Mátyás B. Ferenc,Nappali/ 4-es szekrény/ 1-es polc/ 42-dik könyv
Melyik nap péntek?,Molnos Lajos,Nappali/ 4-es szekrény/ 1-es polc/ 43-dik könyv
A sikoly,Szombati István,Nappali/ 4-es szekrény/ 1-es polc/ 44-dik könyv
Érzelmes levelek,Cseke Gábor,Nappali/ 4-es szekrény/ 1-es polc/ 45-dik könyv
A bozót,Cseke Gábor,Nappali/ 4-es szekrény/ 1-es polc/ 46-dik könyv
"""Yesterday,  Az oroszlán tava és egyébb történetek""",Mózes Attila,Nappali/ 4-es szekrény/ 1-es polc/ 47-dik könyv
A felvilágosodás gondolkodói,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 48-dik könyv
Újságíró évkönyv 1997,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 49-dik könyv
Abu Szimbel úrnoje,Christian Jacq,Nappali/ 4-es szekrény/ 1-es polc/ 5-dik könyv
Holnap is köszönök,Bodó Barna,Nappali/ 4-es szekrény/ 1-es polc/ 50-dik könyv
Az ember bolond termászete,Kozma Mária,Nappali/ 4-es szekrény/ 1-es polc/ 51-dik könyv
Viselkendjünk,Nyerges Ágnes,Nappali/ 4-es szekrény/ 1-es polc/ 52-dik könyv
Ideje van a szólásnak,Tökés László,Nappali/ 4-es szekrény/ 1-es polc/ 53-dik könyv
Csak ülök és kérdezek,Vitray Tamás,Nappali/ 4-es szekrény/ 1-es polc/ 54-dik könyv
Lágerszótár,Oliver Lusag,Nappali/ 4-es szekrény/ 1-es polc/ 55-dik könyv
Olvassunk együtt,Markó Béla,Nappali/ 4-es szekrény/ 1-es polc/ 56-dik könyv
Az erdélyi macska,Markó Béla,Nappali/ 4-es szekrény/ 1-es polc/ 57-dik könyv
Kannibál ido,Markó Béla,Nappali/ 4-es szekrény/ 1-es polc/ 58-dik könyv
A feledékeny Európa,Markó Béla,Nappali/ 4-es szekrény/ 1-es polc/ 59-dik könyv
A semmi közelít,Illyés Gyula,Nappali/ 4-es szekrény/ 1-es polc/ 6-dik könyv
Bengáli tuz,Hajnóczy Rózsa,Nappali/ 4-es szekrény/ 1-es polc/ 60-dik könyv
Álom és értelem,Gyimesi Éva,Nappali/ 4-es szekrény/ 1-es polc/ 61-dik könyv
Valóság és lehetoség,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 62-dik könyv
Lehet-nem lehet,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 64-dik könyv
Ember a légtengeren túl,Ábrahám János,Nappali/ 4-es szekrény/ 1-es polc/ 65-dik könyv
A megmaradás parancsolatai,Fábián Erno,Nappali/ 4-es szekrény/ 1-es polc/ 66-dik könyv
Az értelem keresése,Fábián Erno,Nappali/ 4-es szekrény/ 1-es polc/ 67-dik könyv
Nemzetközi jog és kisebbségvédelem,Kovács Péter,Nappali/ 4-es szekrény/ 1-es polc/ 68-dik könyv
Az identitásválasztás szabadsága,Bíró Gáspár,Nappali/ 4-es szekrény/ 1-es polc/ 69-dik könyv
Leonardo,Farntisek Jilek,Nappali/ 4-es szekrény/ 1-es polc/ 7-dik könyv
Rájuk fújt az Isten,Rónaszigeti Miklós,Nappali/ 4-es szekrény/ 1-es polc/ 70-dik könyv
A Fidesz vitaírata,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 71-dik könyv
Madonna,Harsány Zsolt,Nappali/ 4-es szekrény/ 1-es polc/ 72-dik könyv
Párbeszéd a jelennel,Bretter György,Nappali/ 4-es szekrény/ 1-es polc/ 73-dik könyv
Promerád,Bogdán László,Nappali/ 4-es szekrény/ 1-es polc/ 74-dik könyv
Találkozásaink,Gálfalfi György,Nappali/ 4-es szekrény/ 1-es polc/ 75-dik könyv
Kalandozások Ázsiában,Péczely László,Nappali/ 4-es szekrény/ 1-es polc/ 76-dik könyv
Cultura Civica,Sidney Verba,Nappali/ 4-es szekrény/ 1-es polc/ 77-dik könyv
Erdogazdák könyve,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 78-dik könyv
Nagy Imre élete és halála,Méray,Nappali/ 4-es szekrény/ 1-es polc/ 79-dik könyv
Valaki jár a fák hegyén,Kányádi Sándor,Nappali/ 4-es szekrény/ 1-es polc/ 8-dik könyv
Ketrecbe engem zártak,Kubinyi Ferenc,Nappali/ 4-es szekrény/ 1-es polc/ 80-dik könyv
The first parlament 1990-1994,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 81-dik könyv
Nemzetpolitika 88-89,Orbán Viktor,Nappali/ 4-es szekrény/ 1-es polc/ 82-dik könyv
Chansonévek,Barncs Dénes,Nappali/ 4-es szekrény/ 1-es polc/ 83-dik könyv
Egy vezér gyermekkora,Jea-Paul Sartre,Nappali/ 4-es szekrény/ 1-es polc/ 84-dik könyv
Költoi osz,Kozma Dezso,Nappali/ 4-es szekrény/ 1-es polc/ 85-dik könyv
Igevár,Domokos Géza,Nappali/ 4-es szekrény/ 1-es polc/ 86-dik könyv
Népek nagy romlása a román uralom alatt,Beke György,Nappali/ 4-es szekrény/ 1-es polc/ 87-dik könyv
Identitászavarok,Balázs Sándor,Nappali/ 4-es szekrény/ 1-es polc/ 88-dik könyv
Erdély társadalom- és gazdaságföldrajza,Vofkori László,Nappali/ 4-es szekrény/ 1-es polc/ 89-dik könyv
Csipkabokor az alkonyatban,Kányádi Sándor,Nappali/ 4-es szekrény/ 1-es polc/ 9-dik könyv
Írások és beszédei,Márton Áron,Nappali/ 4-es szekrény/ 1-es polc/ 90-dik könyv
"""A tudomány és a politika,  mint hivatás""",Max Weber,Nappali/ 4-es szekrény/ 1-es polc/ 91-dik könyv
A negyvennapos út,Michael Asher,Nappali/ 4-es szekrény/ 1-es polc/ 92-dik könyv
Parasztfelkelés Erdélybe 1437-38,Demény János,Nappali/ 4-es szekrény/ 1-es polc/ 93-dik könyv
Szászkilencvenégy bekezdés az emberrol,Ancsal Éva,Nappali/ 4-es szekrény/ 1-es polc/ 94-dik könyv
Szól A rádió...,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 95-dik könyv
Kodály-történet,Névtelen,Nappali/ 4-es szekrény/ 1-es polc/ 96-dik könyv
A noies no,Toni Grant,Nappali/ 4-es szekrény/ 1-es polc/ 97-dik könyv
Börtön volt a háza,Csalog Zsolt,Nappali/ 4-es szekrény/ 1-es polc/ 98-dik könyv
Privatizáció,E. S. Savas,Nappali/ 4-es szekrény/ 1-es polc/ 99-dik könyv
"""India,  o poarta spre eternitate""",Bogdan Ficeac,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 10-ik könyv
Viitorul economiei mondiale,Anne P. Carter,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 29-ik könyv
Nagy lexikon 1-21,Révai,Nappali/ 5-ös szekrény/ 1-es polc/ elso könyv
Eszter hagyatéka és három másik kisregény,Márai Sándor,Hálószoba/ 6-os szekrény/ 1-es polc/ elso könyv
Örökölt sors,Orvos Tóth-Noémi,Hálószoba/ 6-os szekrény/ 1-es polc/ 2-ik könyv
Emlékirataim,Dosztojevszkaja,Hálószoba/ 6-os szekrény/ 1-es polc/ 4-ik könyv
Presszer könyv I.,Presszer Gábor,Hálószoba/ 6-os szekrény/ 1-es polc/ 5-ik könyv
Biblia,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ elso könyv
"""Tájak,  falvak,  hagyomágyok""",Dr. Kós Károly,Hálószoba/ 5-ös szekrény/ 3-as polc/ 2-ik könyv
"""Eszköz,  munka,  néphagyomány""",Dr. Kós Károly,Hálószoba/ 5-ös szekrény/ 3-as polc/ 3-ik könyv
Rendületlenül,Domokos Pál Péter,Hálószoba/ 5-ös szekrény/ 3-as polc/ 4-ik könyv
A katolikus egyház katekizmusa,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 5-ik könyv
Márton Áron emlékkönyv,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 7-ik könyv
Köpönyeges Mária ábrázolások a középkori Magyarországon,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 8-ik könyv
A mi kisebb testvérünk ( Szent Ferenc története),Helio Faria,Hálószoba/ 5-ös szekrény/ 3-as polc/ 9-ik könyv
Erdélyi fejedelmek,Sebestyén Mihály,Hálószoba/ 5-ös szekrény/ 3-as polc/ 10-ik könyv
Árpád-vér,S. Bokor Malvin,Hálószoba/ 5-ös szekrény/ 3-as polc/ 11-ik könyv
Találkozunk a paradicsomban,Arturo Mari,Hálószoba/ 5-ös szekrény/ 3-as polc/ 14-ik könyv
Szent Biblia,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 17-ik könyv
Fatima üzenete ma is idoszeru,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 18-ik könyv
A szeretet bölcsoje,Bojte Csaba testvér,Hálószoba/ 5-ös szekrény/ 3-as polc/ 23-ik könyv
Breviárium,Csoóri Sándor,Nappali/ 1-es szekrény/ 1-es polc/ 18-ik könyv
A varázshegy,Thomas Mann,Hálószoba/ 5-ös szekrény/ 3-as polc/ 24-ik könyv
Agykontroll,José Silva,Hálószoba/ 5-ös szekrény/ 3-as polc/ 25-ik könyv
Döglött kutyával orzött terület,Podmaniczky Szilárd,Hálószoba/ 5-ös szekrény/ 3-as polc/ 26-ik könyv
Ne féljetek,Jókai Anna,Hálószóba/ 6-os szekrény/ 2-es polc/ elso könyv
Egyetlenem,Méhes György,Hálószóba/ 6-os szekrény/ 2-es polc/ 2-ik könyv
Bizalmas jelentés egy fiatalemberrol,Méhes György,Hálószóba/ 6-os szekrény/ 2-es polc/ 3-ik könyv
Sárga vihar,Makkai Sándor,Hálószóba/ 6-os szekrény/ 2-es polc/ 5-ik könyv
Abafi,Jósika Miklós,Hálószóba/ 6-os szekrény/ 2-es polc/ 7-ik könyv
Jákob lajtorjája,Jókai Anna,Hálószóba/ 6-os szekrény/ 2-es polc/ 8-ik könyv
Füves könyv,Márai Sándor,Hálószóba/ 6-os szekrény/ 2-es polc/ 9-ik könyv
A négy évszak,Márai Sándor,Hálószóba/ 6-os szekrény/ 2-es polc/ 10-ik könyv
Eszter hagyatéka,Márai Sándor,Hálószóba/ 6-os szekrény/ 2-es polc/ 11-ik könyv
Judit...és az utóhang,Márai Sándor,Hálószóba/ 6-os szekrény/ 2-es polc/1 2-ik könyv
Harangoskönyv,Kisgyörgy Zoltán,Hálószóba/ 6-os szekrény/ 2-es polc/ 26 és 27-ik könyv
Háromszéki vártúra-kalauz,Kisgyörgy Zoltán,Hálószóba/ 6-os szekrény/ 2-es polc/ 28 és 29-ik könyv
"""Kós Károly,  a muvészi kovácsoltvas formatervezoje""",Márton László,Hálószóba/ 6-os szekrény/ 2-es polc/ 30-ik könyv
"""Plakátballada,  Mikós diákok 1975-ös """"forradalma""""""",Csinta Samu,Hálószóba/ 6-os szekrény/ 3-as polc/ elso könyv
Idoringató,Cs. Kovács Katalin,Hálószóba/ 6-os szekrény/ 3-as polc/ 2-ik könyv
Csík zenekar,Süveges Gergo,Hálószóba/ 6-os szekrény/ 3-as polc/ 3-ik könyv
"""A lélekmento,  Kallós Zoltán elso kilenven éve""",Névtelen,Hálószóba/ 6-os szekrény/ 3-as polc/ 4-ik könyv
Szerelem a kolera idején,Gabriel Garcia Márquez,Hálószóba/ 6-os szekrény/ 3-as polc/ 5-ik könyv
Kráter,Pilinszky János,Hálószóba/ 6-os szekrény/ 3-as polc/ 6-ik könyv
Egybegyujtött költemények I.,Weöres Sándor,Hálószóba/ 6-os szekrény/ 3-as polc/ 7-ik könyv
Rendszerújra,Dragomán György,Hálószóba/ 6-os szekrény/ 3-as polc/ 25-ik könyv
Karinthy megmondja,Karinthy Frigyes,Hálószóba/ 6-os szekrény/ 3-as polc/ 26-ik könyv
Ungurii,Paul Lendvai,Hálószóba/ 6-os szekrény/ 4-es polc/ elso könyv
Magyarok Romániában,Németh László,Hálószóba/ 6-os szekrény/ 4-es polc/ 2-ik könyv
A székelység története a 17-19. században,Névtelen,Hálószóba/ 6-os szekrény/ 4-es polc/ 3-ik könyv
Erdély a históriában,Névtelen,Hálószóba/ 6-os szekrény/ 4-es polc/ 4-ik könyv
"""Áldott kezek,  életem története""",Ben Carson,Hálószóba/ 6-os szekrény/ 4-es polc/ 5-ik könyv
Tablete de stil de viata,"Hans Diehl, Aileen Ludington",Hálószóba/ 6-os szekrény/ 4-es polc/ 6-ik könyv
Biblia vitaminelor,Earl Mindell,Hálószóba/ 6-os szekrény/ 4-es polc/ 7-ik könyv
Az esszekius béke evangélium (4. könyv),Névtelen,Hálószóba/ 6-os szekrény/ 4-es polc/ 8-ik könyv
Út az életbe,Benedek H. Erika,Hálószóba/ 6-os szekrény/ 4-es polc/ 9-ik könyv
"""Élet a lélekben, lelkigyakorlatos munkafüzet""",P. Ernst Sievers,Hálószóba/ 6-os szekrény/ 4-es polc/ 10-ik könyv
"""Osteoporoza,  cauze si prevenire""",Emil Radulescu,Hálószóba/ 6-os szekrény/ 4-es polc/ 11-ik könyv
Gyógyítás illóolajokkal,"Frank Zsófia, Kürti Gábor",Hálószóba/ 6-os szekrény/ 4-es polc/ 12-ik könyv
